node,gene
530,YBR228W
531,YBR229C
532,YBR230C
533,YBR230W-A
534,YBR231C
535,YBR232C
536,YBR233W
537,YBR233W-A
538,YBR234C
539,YBR235W
540,YBR236C
541,YBR237W
542,YBR238C
543,YBR239C
544,YBR240C
545,YBR241C
546,YBR242W
547,YBR243C
548,YBR244W
549,YBR245C
550,YBR246W
551,YBR247C
552,YBR248C
553,YBR249C
554,YBR250W
555,YBR251W
556,YBR252W
557,YBR253W
558,YBR254C
559,YBR255C-A
560,YBR255W
561,YBR256C
562,YBR257W
563,YBR258C
564,YBR259W
565,YBR260C
566,YBR261C
567,YBR262C
568,YBR263W
569,YBR264C
570,YBR265W
571,YBR266C
572,YBR267W
573,YBR268W
574,YBR269C
575,YBR270C
576,YBR271W
577,YBR272C
578,YBR273C
579,YBR274W
580,YBR275C
581,YBR276C
582,YBR277C
583,YBR278W
584,YBR279W
585,YBR280C
586,YBR281C
587,YBR282W
588,YBR283C
589,YBR284W
590,YBR285W
591,YBR286W
592,YBR287W
593,YBR288C
594,YBR289W
595,YBR290W
596,YBR291C
597,YBR292C
598,YBR293W
599,YBR294W
600,YBR295W
601,YBR296C
602,YBR296C-A
603,YBR297W
604,YBR298C
605,YBR298C-A
606,YBR299W
607,YBR300C
608,YBR301W
609,YBR302C
610,YCL001W
611,YCL001W-A
612,YCL001W-B
613,YCL002C
614,YCL004W
615,YCL005W
616,YCL005W-A
617,YCL007C
618,YCL008C
619,YCL009C
620,YCL010C
621,YCL011C
622,YCL012C
623,YCL014W
624,YCL016C
625,YCL017C
626,YCL018W
627,YCL019W
628,YCL020W
629,YCL021W-A
630,YCL022C
631,YCL023C
632,YCL024W
633,YCL025C
634,YCL026C-A
635,YCL026C-B
636,YCL027W
637,YCL028W
638,YCL029C
639,YCL030C
640,YCL031C
641,YCL032W
642,YCL033C
643,YCL034W
644,YCL035C
645,YCL036W
646,YCL037C
647,YCL038C
648,YCL039W
649,YCL040W
650,YCL041C
651,YCL042W
652,YCL043C
653,YCL044C
654,YCL045C
655,YCL046W
656,YCL047C
657,YCL048W
658,YCL048W-A
659,YCL049C
660,YCL050C
661,YCL051W
662,YCL052C
663,YCL054W
664,YCL055W
665,YCL056C
666,YCL057C-A
667,YCL057W
668,YCL058C
669,YCL058W-A
670,YCL059C
671,YCL061C
672,YCL063W
673,YCL064C
674,YCL065W
675,YCL066W
676,YCL067C
677,YCL068C
678,YCL069W
679,YCL073C
680,YCL076W
681,YCR001W
682,YCR002C
683,YCR003W
684,YCR004C
685,YCR005C
686,YCR006C
687,YCR007C
688,YCR008W
689,YCR009C
690,YCR010C
691,YCR011C
692,YCR012W
693,YCR013C
694,YCR014C
695,YCR015C
696,YCR016W
697,YCR017C
698,YCR018C
699,YCR018C-A
700,YCR019W
701,YCR020C
702,YCR020C-A
703,YCR020W-B
704,YCR021C
705,YCR022C
706,YCR023C
707,YCR024C
708,YCR024C-A
709,YCR024C-B
